"iso_code3","frac_waso_initial_composition_mun_glass","Year"
"LA",0.044,2010
"LA",0.044,2011
"LA",0.044,2012
"LA",0.044,2013
"LA",0.044,2014
"LA",0.044,2015
"LA",0.044,2016
"LA",0.044,2017
"LA",0.044,2018
"LA",0.044,2019
"LA",0.044,2020
