Year,iso_code3,pij_lndu_grasslands_to_forests_mangroves
2015,LA,0.005427300326794772
2016,LA,0.002134615721288742
2017,LA,0.002659674468465399
2018,LA,0.0007294727553735843
2019,LA,0.002735043262339602
