Year,iso_code3,pij_lndu_forests_primary_to_forests_mangroves
2020,LA,0.0003517663719426884
2021,LA,0.0003517663719426884
2022,LA,0.0003517663719426884
2023,LA,0.0003517663719426884
2024,LA,0.0003517663719426884
2025,LA,0.0003517663719426884
2026,LA,0.0003517663719426884
2027,LA,0.0003517663719426884
2028,LA,0.0003517663719426884
2029,LA,0.0003517663719426884
2030,LA,0.0003517663719426884
2031,LA,0.0003517663719426884
2032,LA,0.0003517663719426884
2033,LA,0.0003517663719426884
2034,LA,0.0003517663719426884
2035,LA,0.0003517663719426884
2036,LA,0.0003517663719426884
2037,LA,0.0003517663719426884
2038,LA,0.0003517663719426884
2039,LA,0.0003517663719426884
2040,LA,0.0003517663719426884
2041,LA,0.0003517663719426884
2042,LA,0.0003517663719426884
2043,LA,0.0003517663719426884
2044,LA,0.0003517663719426884
2045,LA,0.0003517663719426884
2046,LA,0.0003517663719426884
2047,LA,0.0003517663719426884
2048,LA,0.0003517663719426884
2049,LA,0.0003517663719426884
2050,LA,0.0003517663719426884
