Year,iso_code3,pij_lndu_forests_secondary_to_forests_secondary
2015,LA,0.9799342978637527
2016,LA,0.994951497701723
2017,LA,0.9943397488780422
2018,LA,0.9974144460391783
2019,LA,0.991668264003164
