,Year,frac_trns_pkm_dem_private_and_public_human_powered,iso_code3,Region
0,2011,0.011093238174032611,LA,louisiana
1,2012,0.010950873120371638,LA,louisiana
2,2013,0.010882525192028824,LA,louisiana
3,2014,0.0108509168137643,LA,louisiana
4,2015,0.01049370584057566,LA,louisiana
5,2016,0.010302251803757477,LA,louisiana
6,2017,0.010228274289968649,LA,louisiana
7,2018,0.01012246163835466,LA,louisiana
8,2019,0.010051789383405832,LA,louisiana
9,2020,0.011725556455038085,LA,louisiana
10,2021,0.010855155380867522,LA,louisiana
