iso_code3,Region,Year,frac_inen_energy_glass_oil
LA,louisiana,2021,0.0691227883154315
LA,louisiana,2022,0.0923928159670805
LA,louisiana,2023,0.0989452703653035
LA,louisiana,2024,0.096044910146848
LA,louisiana,2025,0.0922609006366231
LA,louisiana,2026,0.0918274389394931
LA,louisiana,2027,0.0954013449811783
LA,louisiana,2028,0.1014004342951282
LA,louisiana,2029,0.1077846025047659
LA,louisiana,2030,0.1133970785903754
LA,louisiana,2031,0.116370570040054
LA,louisiana,2032,0.1178350693529348
LA,louisiana,2033,0.1193192193480114
LA,louisiana,2034,0.1210419647362206
LA,louisiana,2035,0.1229907792278822
LA,louisiana,2036,0.1250519328133272
LA,louisiana,2037,0.1271220425512711
LA,louisiana,2038,0.129154421335116
LA,louisiana,2039,0.1311509539554418
LA,louisiana,2040,0.1331330334597379
LA,louisiana,2041,0.1351181721211245
LA,louisiana,2042,0.1371116122578811
LA,louisiana,2043,0.1391093693791079
LA,louisiana,2044,0.1411049858275986
LA,louisiana,2045,0.1430943580166534
LA,louisiana,2046,0.1450769679153351
LA,louisiana,2047,0.1470546379614549
LA,louisiana,2048,0.1490296787339298
LA,louisiana,2049,0.1510036741968836
LA,louisiana,2050,0.1529771936777503
