Year,prodinit_ippu_plastic_tonne,Iso_code3,Region
2015,14880162.361726863,LA,louisiana
2016,15610433.68141115,LA,louisiana
2017,15918766.01850918,LA,louisiana
2018,17012958.05691193,LA,louisiana
2019,17692327.113903757,LA,louisiana
2020,18364862.784855448,LA,louisiana
