Subsector,Variable,Incluida en fake data ,Responsable ,Observada,Correspondencia,Archivo,Definición,Nombre,cantidad de datos,,283.6666667
Carbon Capture and Sequestration,efficfactor_ccsq_heat_energy_direct_air_capture_geothermal,0,,,,,efficfactor_ccsq = no lo encuentro,Edmundo,167,276,
Carbon Capture and Sequestration,efficfactor_ccsq_heat_energy_direct_air_capture_hydrogen,0,,,,,,Hermilo,168,289,
Carbon Capture and Sequestration,efficfactor_ccsq_heat_energy_direct_air_capture_natural_gas,0,,,,,,Mateo,169,286,
Carbon Capture and Sequestration,energy_intensity_ccsq_direct_air_capture_gj_per_tonne_co2,0,,,,,frac_ccsq=no lo encuentro,,504,,
Carbon Capture and Sequestration,frac_ccsq_energydem_direct_air_capture_electricity,0,,,,,,,,,
Carbon Capture and Sequestration,frac_ccsq_energydem_direct_air_capture_heat,0,,,,,,,,,
Carbon Capture and Sequestration,frac_ccsq_heat_energy_direct_air_capture_geothermal,1,Edmundo,0,,,,,,,
Carbon Capture and Sequestration,frac_ccsq_heat_energy_direct_air_capture_hydrogen,1,Hermilo,0,,,,,,,
Carbon Capture and Sequestration,frac_ccsq_heat_energy_direct_air_capture_natural_gas,1,Mateo,0,,,,,,,
Carbon Capture and Sequestration,qty_ccsq_mt_co2_captured_sequestered_by_direct_air_capture,0,,,,,,,,,
Energy Fuels,cost_enfu_fuel_biomass_usd_per_m3,1,Mateo,0,,,cost_enfu...per_m3=Volumetric Fuel Price,,,,
Energy Fuels,cost_enfu_fuel_coal_usd_per_m3,1,Mateo,1,,,,,,,
Energy Fuels,cost_enfu_fuel_natural_gas_usd_per_mmbtu,1,Mateo,1,,,,,,,
Energy Fuels,cost_enfu_fuel_nuclear_usd_per_tonne,1,Mateo,0,,,,,,,
Energy Fuels,cost_enfu_fuel_oil_usd_per_m3,1,Mateo,1,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_biofuels,0,,,,,"ef_enfu_combustion=Carbon Dioxide fuel combustion emission factor, enetered as tonne of CO2 are emitted per TJ of energy demanded",,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_biogas,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_biomass,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_coal,0,,,,,,,,,
Energy Fuels,ef_enfu_combustion_tonne_co2_per_tj_fuel_coke,0,,,,,,,,,
