,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_paper
0,LA,Louisiana,2021,0.020955312550503397
1,LA,Louisiana,2022,0.020955312550503397
2,LA,Louisiana,2023,0.020955312550503397
3,LA,Louisiana,2024,0.020955312550503397
4,LA,Louisiana,2025,0.020955312550503397
5,LA,Louisiana,2026,0.020955312550503397
6,LA,Louisiana,2027,0.020955312550503397
7,LA,Louisiana,2028,0.020955312550503397
8,LA,Louisiana,2029,0.020955312550503397
9,LA,Louisiana,2030,0.020955312550503397
10,LA,Louisiana,2031,0.020955312550503397
11,LA,Louisiana,2032,0.020955312550503397
12,LA,Louisiana,2033,0.020955312550503397
13,LA,Louisiana,2034,0.020955312550503397
14,LA,Louisiana,2035,0.020955312550503397
15,LA,Louisiana,2036,0.020955312550503397
16,LA,Louisiana,2037,0.020955312550503397
17,LA,Louisiana,2038,0.020955312550503397
18,LA,Louisiana,2039,0.020955312550503397
19,LA,Louisiana,2040,0.020955312550503397
20,LA,Louisiana,2041,0.020955312550503397
21,LA,Louisiana,2042,0.020955312550503397
22,LA,Louisiana,2043,0.020955312550503397
23,LA,Louisiana,2044,0.020955312550503397
24,LA,Louisiana,2045,0.020955312550503397
25,LA,Louisiana,2046,0.020955312550503397
26,LA,Louisiana,2047,0.020955312550503397
27,LA,Louisiana,2048,0.020955312550503397
28,LA,Louisiana,2049,0.020955312550503397
29,LA,Louisiana,2050,0.020955312550503397
