Year,iso_code3,pij_lndu_forests_primary_to_forests_primary
2020,LA,0.9994984142826235
2021,LA,0.9994984142826235
2022,LA,0.9994984142826235
2023,LA,0.9994984142826235
2024,LA,0.9994984142826235
2025,LA,0.9994984142826235
2026,LA,0.9994984142826235
2027,LA,0.9994984142826235
2028,LA,0.9994984142826235
2029,LA,0.9994984142826235
2030,LA,0.9994984142826235
2031,LA,0.9994984142826235
2032,LA,0.9994984142826235
2033,LA,0.9994984142826235
2034,LA,0.9994984142826235
2035,LA,0.9994984142826235
2036,LA,0.9994984142826235
2037,LA,0.9994984142826235
2038,LA,0.9994984142826235
2039,LA,0.9994984142826235
2040,LA,0.9994984142826235
2041,LA,0.9994984142826235
2042,LA,0.9994984142826235
2043,LA,0.9994984142826235
2044,LA,0.9994984142826235
2045,LA,0.9994984142826235
2046,LA,0.9994984142826235
2047,LA,0.9994984142826235
2048,LA,0.9994984142826235
2049,LA,0.9994984142826235
2050,LA,0.9994984142826235
