iso_code3,Region,Year,frac_inen_energy_electronics_oil
LA,louisiana,2021,0.0279829348339485
LA,louisiana,2022,0.0306882335015577
LA,louisiana,2023,0.0327684229651254
LA,louisiana,2024,0.0338121608798798
LA,louisiana,2025,0.0354157992165137
LA,louisiana,2026,0.0373685615118237
LA,louisiana,2027,0.0396988272248726
LA,louisiana,2028,0.0420671312790942
LA,louisiana,2029,0.0444328734352628
LA,louisiana,2030,0.0467922032225238
LA,louisiana,2031,0.0492403783087586
LA,louisiana,2032,0.0518316476275948
LA,louisiana,2033,0.0546046047328841
LA,louisiana,2034,0.0575734836892117
LA,louisiana,2035,0.0607555433819487
LA,louisiana,2036,0.0641732542361208
LA,louisiana,2037,0.0678578399881016
LA,louisiana,2038,0.0718457075104731
LA,louisiana,2039,0.0761781493976461
LA,louisiana,2040,0.0809019490092581
LA,louisiana,2041,0.0860718348469465
LA,louisiana,2042,0.0917532856732031
LA,louisiana,2043,0.0965458545949952
LA,louisiana,2044,0.0985886759108912
LA,louisiana,2045,0.1006551474609959
LA,louisiana,2046,0.1027456629355258
LA,louisiana,2047,0.1048606328170275
LA,louisiana,2048,0.1070004700200469
LA,louisiana,2049,0.1091656043420694
LA,louisiana,2050,0.1113564803215726
