,iso_code3,Region,Year,frac_trns_pkm_dem_regional_aviation
0,LA,louisiana,2022,0.11898212723387151
1,LA,louisiana,2023,0.11898212723387151
2,LA,louisiana,2024,0.11898212723387151
3,LA,louisiana,2025,0.11898212723387151
4,LA,louisiana,2026,0.11898212723387151
5,LA,louisiana,2027,0.11898212723387151
6,LA,louisiana,2028,0.11898212723387151
7,LA,louisiana,2029,0.11898212723387151
8,LA,louisiana,2030,0.11898212723387151
9,LA,louisiana,2031,0.11898212723387151
10,LA,louisiana,2032,0.11898212723387151
11,LA,louisiana,2033,0.11898212723387151
12,LA,louisiana,2034,0.11898212723387151
13,LA,louisiana,2035,0.11898212723387151
14,LA,louisiana,2036,0.11898212723387151
15,LA,louisiana,2037,0.11898212723387151
16,LA,louisiana,2038,0.11898212723387151
17,LA,louisiana,2039,0.11898212723387151
18,LA,louisiana,2040,0.11898212723387151
19,LA,louisiana,2041,0.11898212723387151
20,LA,louisiana,2042,0.11898212723387151
21,LA,louisiana,2043,0.11898212723387151
22,LA,louisiana,2044,0.11898212723387151
23,LA,louisiana,2045,0.11898212723387151
24,LA,louisiana,2046,0.11898212723387151
25,LA,louisiana,2047,0.11898212723387151
26,LA,louisiana,2048,0.11898212723387151
27,LA,louisiana,2049,0.11898212723387151
28,LA,louisiana,2050,0.11898212723387151
