"Year","Region","iso_code3","exports_agrc_herbs_and_other_perennial_crops_tonne"
2008,"louisiana","LA",6.84
2009,"louisiana","LA",31.89
2010,"louisiana","LA",66.29
2011,"louisiana","LA",2233.99
2012,"louisiana","LA",40.94
2013,"louisiana","LA",82.42
2014,"louisiana","LA",79.67
2015,"louisiana","LA",244.1
2016,"louisiana","LA",60.75
2017,"louisiana","LA",63.21
2018,"louisiana","LA",85.39
2019,"louisiana","LA",77.32
2020,"louisiana","LA",105.26
2021,"louisiana","LA",6.82
2022,"louisiana","LA",0.07
2023,"louisiana","LA",22.36
