Year,iso_code3,pij_lndu_forests_primary_to_forests_primary
2015,LA,0.9990042418869804
2016,LA,0.9996519304630382
2017,LA,0.9995707220406519
2018,LA,0.9997647564011443
2019,LA,0.9994984142826235
