iso_code3,Region,Year,frac_inen_energy_chemicals_diesel
LA,louisiana,2021,0.0136564661368999
LA,louisiana,2022,0.0131829826525171
LA,louisiana,2023,0.0132269970567719
LA,louisiana,2024,0.0133251100164038
LA,louisiana,2025,0.0134065003950031
LA,louisiana,2026,0.0134912418613575
LA,louisiana,2027,0.0135884638843718
LA,louisiana,2028,0.0136939101943885
LA,louisiana,2029,0.01380246865248
LA,louisiana,2030,0.01391152137164
LA,louisiana,2031,0.0140197488184777
LA,louisiana,2032,0.0141262243423973
LA,louisiana,2033,0.0142302398912865
LA,louisiana,2034,0.0143313070894673
LA,louisiana,2035,0.014429126033848
LA,louisiana,2036,0.0145235365113324
LA,louisiana,2037,0.0146144784286239
LA,louisiana,2038,0.0147009827910156
LA,louisiana,2039,0.0147837424864616
LA,louisiana,2040,0.0148632469683739
LA,louisiana,2041,0.0149396164348287
LA,louisiana,2042,0.0150129848099449
LA,louisiana,2043,0.0150834928784927
LA,louisiana,2044,0.0151512833199086
LA,louisiana,2045,0.0152164971988853
LA,louisiana,2046,0.0152792715661906
LA,louisiana,2047,0.015339737896928
LA,louisiana,2048,0.0153980211516376
LA,louisiana,2049,0.0154542392929576
LA,louisiana,2050,0.0155085031288231
