"Year","Region","iso_code3","yf_agrc_herbs_and_other_perennial_crops_tonne_ha"
2011,"louisiana","LA",13.2113333333333
2012,"louisiana","LA",12.6974666666667
2013,"louisiana","LA",12.6661
2014,"louisiana","LA",12.5539
2015,"louisiana","LA",12.0592333333333
2016,"louisiana","LA",12.5398
2017,"louisiana","LA",12.1612333333333
2018,"louisiana","LA",12.2891666666667
2019,"louisiana","LA",12.3377
