"Year","Region","iso_code3","exports_agrc_tubers_tonne"
2008,"louisiana","LA",327.53
2009,"louisiana","LA",956.89
2010,"louisiana","LA",37.24
2011,"louisiana","LA",2.4
2012,"louisiana","LA",127.11
2013,"louisiana","LA",399.56
2014,"louisiana","LA",5761.42
2015,"louisiana","LA",192.05
2016,"louisiana","LA",189.47
2017,"louisiana","LA",0
2018,"louisiana","LA",9.07
2019,"louisiana","LA",72
2020,"louisiana","LA",18.14
2021,"louisiana","LA",0
2022,"louisiana","LA",18.14
2023,"louisiana","LA",18
