iso_code3,Region,Year,frac_inen_energy_chemicals_gasoline
LA,louisiana,2000,0.0437879101695416
LA,louisiana,2001,0.0438963584920969
LA,louisiana,2002,0.0494556336140988
LA,louisiana,2003,0.0472478766562924
LA,louisiana,2004,0.0416056576592799
LA,louisiana,2005,0.0386913203156248
LA,louisiana,2006,0.0396060833812281
LA,louisiana,2007,0.0336586144748578
LA,louisiana,2008,0.0393677743037882
LA,louisiana,2009,0.0366782248588777
LA,louisiana,2010,0.0199444624234009
LA,louisiana,2011,0.0109938612168777
LA,louisiana,2012,0.0089953851037334
LA,louisiana,2013,0.0097534511445725
LA,louisiana,2014,0.0108384334121971
LA,louisiana,2015,0.0105678987238802
LA,louisiana,2016,0.0136318972646052
LA,louisiana,2017,0.0133452542045234
LA,louisiana,2018,0.0131606532827928
LA,louisiana,2019,0.0163260693065653
LA,louisiana,2020,0.0151037585077039
