iso_code3,Region,Year,frac_trns_fuelmix_road_heavy_freight_natural_gas
LA,louisiana,2008,0.0033454806141346
LA,louisiana,2009,0.0033363464541046
LA,louisiana,2010,0.0033328455998309
LA,louisiana,2011,0.0033288488737107
LA,louisiana,2012,0.0033417020171413
LA,louisiana,2013,0.0033424491036159
LA,louisiana,2014,0.003337983260263
LA,louisiana,2015,0.0033424694164048
LA,louisiana,2016,0.0033375663443066
LA,louisiana,2017,0.0033393760137391
LA,louisiana,2018,0.0033390559291868
LA,louisiana,2019,0.0033307712016397
