Year,consumpinit_scoe_tj_per_mmmgdp_other_se_elec_appliances,Iso_code3,Region
2022,40.15561172581879,LA,louisiana
2023,40.15561172581879,LA,louisiana
2024,40.15561172581879,LA,louisiana
2025,40.15561172581879,LA,louisiana
2026,40.15561172581879,LA,louisiana
2027,40.15561172581879,LA,louisiana
2028,40.15561172581879,LA,louisiana
2029,40.15561172581879,LA,louisiana
2030,40.15561172581879,LA,louisiana
2031,40.15561172581879,LA,louisiana
2032,40.15561172581879,LA,louisiana
2033,40.15561172581879,LA,louisiana
2034,40.15561172581879,LA,louisiana
2035,40.15561172581879,LA,louisiana
2036,40.15561172581879,LA,louisiana
2037,40.15561172581879,LA,louisiana
2038,40.15561172581879,LA,louisiana
2039,40.15561172581879,LA,louisiana
2040,40.15561172581879,LA,louisiana
2041,40.15561172581879,LA,louisiana
2042,40.15561172581879,LA,louisiana
2043,40.15561172581879,LA,louisiana
2044,40.15561172581879,LA,louisiana
2045,40.15561172581879,LA,louisiana
2046,40.15561172581879,LA,louisiana
2047,40.15561172581879,LA,louisiana
2048,40.15561172581879,LA,louisiana
2049,40.15561172581879,LA,louisiana
2050,40.15561172581879,LA,louisiana
