,Year,deminit_trde_freight_mt_km,iso_code3,Region
0,2010,336507.486308,LA,louisiana
1,2011,336507.486308,LA,louisiana
2,2012,336507.486308,LA,louisiana
3,2013,336507.486308,LA,louisiana
4,2014,336507.486308,LA,louisiana
5,2015,336507.486308,LA,louisiana
6,2016,336507.486308,LA,louisiana
7,2017,336507.486308,LA,louisiana
8,2018,336507.486308,LA,louisiana
9,2019,336671.003172,LA,louisiana
10,2020,310917.097092,LA,louisiana
11,2021,312654.463772,LA,louisiana
12,2022,338677.0047,LA,louisiana
