"Year","Region","iso_code3","cost_enfu_fuel_electricity_usd_per_mmbtu"
2015,"louisiana","LA",29.633198
2016,"louisiana","LA",29.633198
2017,"louisiana","LA",29.633198
2018,"louisiana","LA",29.633198
2019,"louisiana","LA",29.633198
2020,"louisiana","LA",29.633198
2021,"louisiana","LA",29.676153
2022,"louisiana","LA",30.052866
2023,"louisiana","LA",29.85358
