iso_code3,Region,Year,frac_inen_energy_electronics_oil
LA,louisiana,2000,0.0330939100627123
LA,louisiana,2001,0.036293049467752
LA,louisiana,2002,0.0218573307793496
LA,louisiana,2003,0.0204675939627108
LA,louisiana,2004,0.0188555620267909
LA,louisiana,2005,0.0203040749580129
LA,louisiana,2006,0.018093839011371
LA,louisiana,2007,0.0178879502994547
LA,louisiana,2008,0.0126919413664134
LA,louisiana,2009,0.0136414306243872
LA,louisiana,2010,0.0119316378802302
LA,louisiana,2011,0.0118267716535433
LA,louisiana,2012,0.0145362932979149
LA,louisiana,2013,0.0149513417870834
LA,louisiana,2014,0.0279370643404733
LA,louisiana,2015,0.0305135865699246
LA,louisiana,2016,0.0328390811248698
LA,louisiana,2017,0.0396491525663316
LA,louisiana,2018,0.0285368196817175
LA,louisiana,2019,0.0282887402452619
LA,louisiana,2020,0.0233377895397375
