iso_code3,Region,Year,frac_inen_energy_paper_diesel
LA,louisiana,2000,0.0077235143261407
LA,louisiana,2001,0.0073787174347161
LA,louisiana,2002,0.0070637151649453
LA,louisiana,2003,0.0069417630634224
LA,louisiana,2004,0.0068501659011784
LA,louisiana,2005,0.0067134631477711
LA,louisiana,2006,0.006498585804329
LA,louisiana,2007,0.0053870940908115
LA,louisiana,2008,0.0050169356910929
LA,louisiana,2009,0.0043594101943772
LA,louisiana,2010,0.004799358017587
LA,louisiana,2011,0.0048733013895976
LA,louisiana,2012,0.0030333479871883
LA,louisiana,2013,0.0030805098371678
LA,louisiana,2014,0.0024518899985405
LA,louisiana,2015,0.0025271467644987
LA,louisiana,2016,0.0012914152322622
LA,louisiana,2017,0.0012898734695548
LA,louisiana,2018,0.0009104338036893
LA,louisiana,2019,0.0008986409594257
LA,louisiana,2020,0.0009491564002617
