iso_code3,Region,Year,frac_inen_energy_rubber_and_leather_oil
LA,louisiana,2000,0.0341769360130124
LA,louisiana,2001,0.0389922762635025
LA,louisiana,2002,0.029193178141706
LA,louisiana,2003,0.0318571918983865
LA,louisiana,2004,0.0286359363459343
LA,louisiana,2005,0.0304975357897207
LA,louisiana,2006,0.0274405005773026
LA,louisiana,2007,0.0288900414937759
LA,louisiana,2008,0.0260320973990038
LA,louisiana,2009,0.0285439830935856
LA,louisiana,2010,0.0155100837652607
LA,louisiana,2011,0.015746113618454
LA,louisiana,2012,0.0099946428155498
LA,louisiana,2013,0.0096974291818871
LA,louisiana,2014,0.0151374258384792
LA,louisiana,2015,0.013835294117647
LA,louisiana,2016,0.0304582348710572
LA,louisiana,2017,0.0299603070977176
LA,louisiana,2018,0.0107547928676766
LA,louisiana,2019,0.0125358036797151
LA,louisiana,2020,0.0129762924878606
