Year,iso_code3,pij_lndu_forests_secondary_to_forests_mangroves
2015,LA,0.009532424886521763
2016,LA,0.0017669361863258749
2017,LA,0.002572515024989207
2018,LA,0.0006222314103627655
2019,LA,0.003619935336212588
