"Year","Region","iso_code3","yf_agrc_other_annual_tonne_ha"
2011,"louisiana","LA",5.18902891
2012,"louisiana","LA",6.918705214
2013,"louisiana","LA",5.436125525
2014,"louisiana","LA",6.671608599
2015,"louisiana","LA",6.177415369
2016,"louisiana","LA",7.165801829
2017,"louisiana","LA",11.11934766
2018,"louisiana","LA",5.436125525
2019,"louisiana","LA",6.177415369
2020,"louisiana","LA",5.930318755
2021,"louisiana","LA",6.424511984
2022,"louisiana","LA",6.177415369
2023,"louisiana","LA",5.18902891
