iso_code3,Region,Year,frac_inen_energy_recycled_rubber_and_leather_electricity
LA,louisiana,2000,0.4802194469715766
LA,louisiana,2001,0.478200033581463
LA,louisiana,2002,0.4741253139009999
LA,louisiana,2003,0.4936001176989847
LA,louisiana,2004,0.5246928087020749
LA,louisiana,2005,0.5152546350621919
LA,louisiana,2006,0.5438191366531342
LA,louisiana,2007,0.5484773266152935
LA,louisiana,2008,0.5518539014941893
LA,louisiana,2009,0.5703993660094618
LA,louisiana,2010,0.5546685008229139
LA,louisiana,2011,0.5883659287914607
LA,louisiana,2012,0.6046397875759905
LA,louisiana,2013,0.6078985457302365
LA,louisiana,2014,0.5642813899987892
LA,louisiana,2015,0.5548235294117647
LA,louisiana,2016,0.558974622418576
LA,louisiana,2017,0.5497205828589335
LA,louisiana,2018,0.557206059793538
LA,louisiana,2019,0.5488349289087296
LA,louisiana,2020,0.5465866895172807
