"Year","Region","iso_code3","yf_agrc_vegetables_and_vines_tonne_ha"
2011,"louisiana","LA",28.994
2012,"louisiana","LA",29.1536952380952
2013,"louisiana","LA",28.571080952381
2014,"louisiana","LA",29.0489380952381
2015,"louisiana","LA",28.8214476190476
2016,"louisiana","LA",29.7651714285714
2017,"louisiana","LA",28.7205952380952
2018,"louisiana","LA",29.4823476190476
2019,"louisiana","LA",32.7697761904762
