iso_code3,Region,Year,frac_inen_energy_recycled_paper_furnace_gas
LA,louisiana,2000,0.014853053885155
LA,louisiana,2001,0.0133806568825484
LA,louisiana,2002,0.0144664823935666
LA,louisiana,2003,0.014571200638213
LA,louisiana,2004,0.0096067406547784
LA,louisiana,2005,0.0103543459525623
LA,louisiana,2006,0.0226397200144357
LA,louisiana,2007,0.024053553525067
LA,louisiana,2008,0.024831227078418
LA,louisiana,2009,0.0270292817218653
LA,louisiana,2010,0.0227660990127497
LA,louisiana,2011,0.02288749091139
LA,louisiana,2012,0.0240919038256223
LA,louisiana,2013,0.0239132341333645
LA,louisiana,2014,0.024388591205721
LA,louisiana,2015,0.0249220673578241
LA,louisiana,2016,0.0333608081197018
LA,louisiana,2017,0.0286755544116012
LA,louisiana,2018,0.0309732141261681
LA,louisiana,2019,0.0276130345340744
LA,louisiana,2020,0.0284064073747403
