"Year","Region","iso_code3","exports_agrc_herbs_and_other_perennial_crops_tonne"
2024,"louisiana","LA",25.2900000000009
2025,"louisiana","LA",33.0600000000013
2026,"louisiana","LA",40.8299999999999
2027,"louisiana","LA",48.6000000000004
2028,"louisiana","LA",56.3700000000008
2029,"louisiana","LA",64.1400000000012
2030,"louisiana","LA",71.9099999999999
2031,"louisiana","LA",79.6800000000003
2032,"louisiana","LA",87.4500000000007
2033,"louisiana","LA",95.2200000000012
2034,"louisiana","LA",102.99
2035,"louisiana","LA",110.76
2036,"louisiana","LA",118.530000000001
2037,"louisiana","LA",126.300000000001
2038,"louisiana","LA",134.07
2039,"louisiana","LA",141.84
2040,"louisiana","LA",149.610000000001
2041,"louisiana","LA",157.380000000001
2042,"louisiana","LA",165.15
2043,"louisiana","LA",172.92
2044,"louisiana","LA",180.690000000001
2045,"louisiana","LA",188.460000000001
2046,"louisiana","LA",196.23
2047,"louisiana","LA",204
2048,"louisiana","LA",211.77
2049,"louisiana","LA",219.540000000001
2050,"louisiana","LA",227.310000000001
