"Year","Region","iso_code3","exports_agrc_nuts_tonne"
2024,"louisiana","LA",206766.605
2025,"louisiana","LA",205273.968
2026,"louisiana","LA",203781.331
2027,"louisiana","LA",202288.694
2028,"louisiana","LA",200796.057
2029,"louisiana","LA",199303.42
2030,"louisiana","LA",197810.783
2031,"louisiana","LA",196318.146
2032,"louisiana","LA",194825.509
2033,"louisiana","LA",193332.872
2034,"louisiana","LA",191840.235
2035,"louisiana","LA",190347.598
2036,"louisiana","LA",188854.961
2037,"louisiana","LA",187362.324
2038,"louisiana","LA",185869.687
2039,"louisiana","LA",184377.05
2040,"louisiana","LA",182884.413
2041,"louisiana","LA",181391.776
2042,"louisiana","LA",179899.139
2043,"louisiana","LA",178406.502
2044,"louisiana","LA",176913.865
2045,"louisiana","LA",175421.228
2046,"louisiana","LA",173928.591
2047,"louisiana","LA",172435.954
2048,"louisiana","LA",170943.317
2049,"louisiana","LA",169450.68
2050,"louisiana","LA",167958.043
