Year,iso_code3,frac_lndu_initial_grasslands
2020,LA,0.1866812167208638
2021,LA,0.1866812167208638
2022,LA,0.1866812167208638
2023,LA,0.1866812167208638
2024,LA,0.1866812167208638
2025,LA,0.1866812167208638
2026,LA,0.1866812167208638
2027,LA,0.1866812167208638
2028,LA,0.1866812167208638
2029,LA,0.1866812167208638
2030,LA,0.1866812167208638
2031,LA,0.1866812167208638
2032,LA,0.1866812167208638
2033,LA,0.1866812167208638
2034,LA,0.1866812167208638
2035,LA,0.1866812167208638
2036,LA,0.1866812167208638
2037,LA,0.1866812167208638
2038,LA,0.1866812167208638
2039,LA,0.1866812167208638
2040,LA,0.1866812167208638
2041,LA,0.1866812167208638
2042,LA,0.1866812167208638
2043,LA,0.1866812167208638
2044,LA,0.1866812167208638
2045,LA,0.1866812167208638
2046,LA,0.1866812167208638
2047,LA,0.1866812167208638
2048,LA,0.1866812167208638
2049,LA,0.1866812167208638
2050,LA,0.1866812167208638
