,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_plastic
0,LA,louisiana,2010,0.002492458464194632
1,LA,louisiana,2011,0.0028201250795174097
2,LA,louisiana,2012,0.00278832327584288
3,LA,louisiana,2013,0.0027381433734308064
4,LA,louisiana,2014,0.002456592031289571
5,LA,louisiana,2015,0.002164984441491092
6,LA,louisiana,2016,0.0018285462519846947
7,LA,louisiana,2017,0.0018485578571721393
8,LA,louisiana,2018,0.0016545059304701084
9,LA,louisiana,2019,0.0016496981890563734
10,LA,louisiana,2020,0.0015150105027163152
