,iso_code3,Region,Year,efficfactor_scoe_heat_energy_residential_natural_gas
0,LA,louisiana,2024,0.94
1,LA,louisiana,2025,0.94
2,LA,louisiana,2026,0.94
3,LA,louisiana,2027,0.94
4,LA,louisiana,2028,0.94
5,LA,louisiana,2029,0.94
6,LA,louisiana,2030,0.94
7,LA,louisiana,2031,0.94
8,LA,louisiana,2032,0.94
9,LA,louisiana,2033,0.94
10,LA,louisiana,2034,0.94
11,LA,louisiana,2035,0.94
12,LA,louisiana,2036,0.94
13,LA,louisiana,2037,0.94
14,LA,louisiana,2038,0.94
15,LA,louisiana,2039,0.94
16,LA,louisiana,2040,0.94
17,LA,louisiana,2041,0.94
18,LA,louisiana,2042,0.94
19,LA,louisiana,2043,0.94
20,LA,louisiana,2044,0.94
21,LA,louisiana,2045,0.94
22,LA,louisiana,2046,0.94
23,LA,louisiana,2047,0.94
24,LA,louisiana,2048,0.94
25,LA,louisiana,2049,0.94
26,LA,louisiana,2050,0.94
