Year,iso_code3,pop_lvst_initial_cattle_nondairy
2023,LA,722695
2024,LA,722695
2025,LA,722695
2026,LA,722695
2027,LA,722695
2028,LA,722695
2029,LA,722695
2030,LA,722695
2031,LA,722695
2032,LA,722695
2033,LA,722695
2034,LA,722695
2035,LA,722695
2036,LA,722695
2037,LA,722695
2038,LA,722695
2039,LA,722695
2040,LA,722695
2041,LA,722695
2042,LA,722695
2043,LA,722695
2044,LA,722695
2045,LA,722695
2046,LA,722695
2047,LA,722695
2048,LA,722695
2049,LA,722695
2050,LA,722695
