"iso_code3","Region","Year","population_gnrl_urban"
"LA","louisiana",1910,414097
"LA","louisiana",1911,425702.317482
"LA","louisiana",1912,437444.639608
"LA","louisiana",1913,449323.966378
"LA","louisiana",1914,461340.297792
"LA","louisiana",1915,473493.63385
"LA","louisiana",1916,485783.974552
"LA","louisiana",1917,498211.319898
"LA","louisiana",1918,510775.669888
"LA","louisiana",1919,523477.024522
"LA","louisiana",1920,536315.3838
"LA","louisiana",1921,554168.248548
"LA","louisiana",1922,572313.286272
"LA","louisiana",1923,590750.496972
"LA","louisiana",1924,609479.880648
"LA","louisiana",1925,628501.4373
"LA","louisiana",1926,647815.166928
"LA","louisiana",1927,667421.069532
"LA","louisiana",1928,687319.145112
"LA","louisiana",1929,707509.393668
"LA","louisiana",1930,727991.8152
"LA","louisiana",1931,747333.537474
"LA","louisiana",1932,766928.104416
"LA","louisiana",1933,786775.516026
"LA","louisiana",1934,806875.772304
"LA","louisiana",1935,827228.87325
"LA","louisiana",1936,847834.818864
"LA","louisiana",1937,868693.609146
"LA","louisiana",1938,889805.244096
"LA","louisiana",1939,911169.723714
"LA","louisiana",1940,932787.048
"LA","louisiana",1941,956947.850712
"LA","louisiana",1942,981416.782528
"LA","louisiana",1943,1006193.843448
"LA","louisiana",1944,1031279.033472
"LA","louisiana",1945,1056672.3526
"LA","louisiana",1946,1082373.800832
"LA","louisiana",1947,1108383.378168
"LA","louisiana",1948,1134701.084608
"LA","louisiana",1949,1161326.920152
"LA","louisiana",1950,1188260.8848
"LA","louisiana",1951,1226866.707492
"LA","louisiana",1952,1266025.389968
"LA","louisiana",1953,1305736.932228
"LA","louisiana",1954,1346001.334272
"LA","louisiana",1955,1386818.5961
"LA","louisiana",1956,1428188.717712
"LA","louisiana",1957,1470111.699108
"LA","louisiana",1958,1512587.540288
"LA","louisiana",1959,1555616.241252
"LA","louisiana",1960,1599197.802
"LA","louisiana",1961,1633950.217328
"LA","louisiana",1962,1669073.082432
"LA","louisiana",1963,1704566.397312
"LA","louisiana",1964,1740430.161968
"LA","louisiana",1965,1776664.3764
"LA","louisiana",1966,1813269.040608
"LA","louisiana",1967,1850244.154592
"LA","louisiana",1968,1887589.718352
"LA","louisiana",1969,1925305.731888
"LA","louisiana",1970,1963392.1952
"LA","louisiana",1971,2011658.332908
"LA","louisiana",1972,2060468.739232
"LA","louisiana",1973,2109823.414172
"LA","louisiana",1974,2159722.357728
"LA","louisiana",1975,2210165.5699
"LA","louisiana",1976,2261153.050688
"LA","louisiana",1977,2312684.800092
"LA","louisiana",1978,2364760.818112
"LA","louisiana",1979,2417381.104748
"LA","louisiana",1980,2470545.66
"LA","louisiana",1981,2491651.529206
"LA","louisiana",1982,2512770.964784
"LA","louisiana",1983,2533903.966734
"LA","louisiana",1984,2555050.535056
"LA","louisiana",1985,2576210.66975
"LA","louisiana",1986,2597384.370816
"LA","louisiana",1987,2618571.638254
"LA","louisiana",1988,2639772.472064
"LA","louisiana",1989,2660986.872246
"LA","louisiana",1990,2682214.8388
"LA","louisiana",1991,2718501.758786
"LA","louisiana",1992,2755028.717664
"LA","louisiana",1993,2791795.715434
"LA","louisiana",1994,2828802.752096
"LA","louisiana",1995,2866049.82765
"LA","louisiana",1996,2903536.942096
"LA","louisiana",1997,2941264.095434
"LA","louisiana",1998,2979231.287664
"LA","louisiana",1999,3017438.518786
"LA","louisiana",2000,3055885.7888
"LA","louisiana",2001,3081860.690472
"LA","louisiana",2002,3107897.669888
"LA","louisiana",2003,3133996.727048
"LA","louisiana",2004,3160157.861952
"LA","louisiana",2005,3186381.0746
"LA","louisiana",2006,3212666.364992
"LA","louisiana",2007,3239013.733128
"LA","louisiana",2008,3265423.179008
"LA","louisiana",2009,3291894.702632
"LA","louisiana",2010,3318428.304
"LA","louisiana",2011,3319805.40815
"LA","louisiana",2012,3321140.2214
"LA","louisiana",2013,3322432.74375
"LA","louisiana",2014,3323682.9752
"LA","louisiana",2015,3324890.91575
"LA","louisiana",2016,3326056.5654
"LA","louisiana",2017,3327179.92415
"LA","louisiana",2018,3328260.992
"LA","louisiana",2019,3366502.5909
"LA","louisiana",2020,3382620.67
