iso_code3,Region,Year,frac_inen_energy_recycled_metals_electricity
LA,louisiana,2021,0.2325239912894497
LA,louisiana,2022,0.2410024754835418
LA,louisiana,2023,0.2371039312663498
LA,louisiana,2024,0.2341042457025973
LA,louisiana,2025,0.2327246492406671
LA,louisiana,2026,0.2298299583007592
LA,louisiana,2027,0.2262024715837221
LA,louisiana,2028,0.2226862833950011
LA,louisiana,2029,0.2191266547965798
LA,louisiana,2030,0.2153660788040324
LA,louisiana,2031,0.2114852680150656
LA,louisiana,2032,0.207526250705787
LA,louisiana,2033,0.203473208180517
LA,louisiana,2034,0.1993258843300155
LA,louisiana,2035,0.1950945585382461
LA,louisiana,2036,0.1907825314598932
LA,louisiana,2037,0.1863900810979925
LA,louisiana,2038,0.1819185416945165
LA,louisiana,2039,0.1773689309077709
LA,louisiana,2040,0.1727412807056603
LA,louisiana,2041,0.168035214310663
LA,louisiana,2042,0.16325014397296
LA,louisiana,2043,0.1583851849524752
LA,louisiana,2044,0.1534391866573432
LA,louisiana,2045,0.1484108042242528
LA,louisiana,2046,0.1432985230124694
LA,louisiana,2047,0.1381006700470703
LA,louisiana,2048,0.1328154316341157
LA,louisiana,2049,0.127440867332798
LA,louisiana,2050,0.1219749179831648
