,Year,iso_code3,Region,frac_trns_mtkm_dem_freight_aviation
0,2021,LA,louisiana,0.00331113933724355
1,2022,LA,louisiana,0.00331113933724355
2,2023,LA,louisiana,0.00331113933724355
3,2024,LA,louisiana,0.00331113933724355
4,2025,LA,louisiana,0.00331113933724355
5,2026,LA,louisiana,0.00331113933724355
6,2027,LA,louisiana,0.00331113933724355
7,2028,LA,louisiana,0.00331113933724355
8,2029,LA,louisiana,0.00331113933724355
9,2030,LA,louisiana,0.00331113933724355
10,2031,LA,louisiana,0.00331113933724355
11,2032,LA,louisiana,0.00331113933724355
12,2033,LA,louisiana,0.00331113933724355
13,2034,LA,louisiana,0.00331113933724355
14,2035,LA,louisiana,0.00331113933724355
15,2036,LA,louisiana,0.00331113933724355
16,2037,LA,louisiana,0.00331113933724355
17,2038,LA,louisiana,0.00331113933724355
18,2039,LA,louisiana,0.00331113933724355
19,2040,LA,louisiana,0.00331113933724355
20,2041,LA,louisiana,0.00331113933724355
21,2042,LA,louisiana,0.00331113933724355
22,2043,LA,louisiana,0.00331113933724355
23,2044,LA,louisiana,0.00331113933724355
24,2045,LA,louisiana,0.00331113933724355
25,2046,LA,louisiana,0.00331113933724355
26,2047,LA,louisiana,0.00331113933724355
27,2048,LA,louisiana,0.00331113933724355
28,2049,LA,louisiana,0.00331113933724355
29,2050,LA,louisiana,0.00331113933724355
