,Year,iso_code3,Region,deminit_trde_regional_per_capita_passenger_km
0,2018,LA,louisiana,40548.189148807185
1,2019,LA,louisiana,40548.189148807185
2,2020,LA,louisiana,40548.189148807185
3,2021,LA,louisiana,40548.189148807185
4,2022,LA,louisiana,40548.189148807185
5,2023,LA,louisiana,40548.189148807185
6,2024,LA,louisiana,40548.189148807185
7,2025,LA,louisiana,40548.189148807185
8,2026,LA,louisiana,40548.189148807185
9,2027,LA,louisiana,40548.189148807185
10,2028,LA,louisiana,40548.189148807185
11,2029,LA,louisiana,40548.189148807185
12,2030,LA,louisiana,40548.189148807185
13,2031,LA,louisiana,40548.189148807185
14,2032,LA,louisiana,40548.189148807185
15,2033,LA,louisiana,40548.189148807185
16,2034,LA,louisiana,40548.189148807185
17,2035,LA,louisiana,40548.189148807185
18,2036,LA,louisiana,40548.189148807185
19,2037,LA,louisiana,40548.189148807185
20,2038,LA,louisiana,40548.189148807185
21,2039,LA,louisiana,40548.189148807185
22,2040,LA,louisiana,40548.189148807185
23,2041,LA,louisiana,40548.189148807185
24,2042,LA,louisiana,40548.189148807185
25,2043,LA,louisiana,40548.189148807185
26,2044,LA,louisiana,40548.189148807185
27,2045,LA,louisiana,40548.189148807185
28,2046,LA,louisiana,40548.189148807185
29,2047,LA,louisiana,40548.189148807185
30,2048,LA,louisiana,40548.189148807185
31,2049,LA,louisiana,40548.189148807185
32,2050,LA,louisiana,40548.189148807185
