Year,iso_code3,pij_lndu_forests_primary_to_wetlands
2015,LA,0.00021517420582611236
2016,LA,5.6256221915570736e-05
2017,LA,7.911199125988991e-05
2018,LA,0.0001360650198086446
2019,LA,0.00012153032962672507
