Year,consumpinit_scoe_gj_per_hh_residential_heat_energy,Iso_code3,Region
2022,84.86937495710019,LA,louisiana
2023,84.86937495710019,LA,louisiana
2024,84.86937495710019,LA,louisiana
2025,84.86937495710019,LA,louisiana
2026,84.86937495710019,LA,louisiana
2027,84.86937495710019,LA,louisiana
2028,84.86937495710019,LA,louisiana
2029,84.86937495710019,LA,louisiana
2030,84.86937495710019,LA,louisiana
2031,84.86937495710019,LA,louisiana
2032,84.86937495710019,LA,louisiana
2033,84.86937495710019,LA,louisiana
2034,84.86937495710019,LA,louisiana
2035,84.86937495710019,LA,louisiana
2036,84.86937495710019,LA,louisiana
2037,84.86937495710019,LA,louisiana
2038,84.86937495710019,LA,louisiana
2039,84.86937495710019,LA,louisiana
2040,84.86937495710019,LA,louisiana
2041,84.86937495710019,LA,louisiana
2042,84.86937495710019,LA,louisiana
2043,84.86937495710019,LA,louisiana
2044,84.86937495710019,LA,louisiana
2045,84.86937495710019,LA,louisiana
2046,84.86937495710019,LA,louisiana
2047,84.86937495710019,LA,louisiana
2048,84.86937495710019,LA,louisiana
2049,84.86937495710019,LA,louisiana
2050,84.86937495710019,LA,louisiana
