,Year,frac_trns_pkm_dem_regional_rail_passenger,iso_code3,Region
0,2011,0.0045326951051788385,LA,louisiana
1,2012,0.004553248706143507,LA,louisiana
2,2013,0.004644549019039748,LA,louisiana
3,2014,0.004713053976524647,LA,louisiana
4,2015,0.004532134386596552,LA,louisiana
5,2016,0.004464976746874903,LA,louisiana
6,2017,0.004260487580459001,LA,louisiana
7,2018,0.0040423127455287,LA,louisiana
8,2019,0.004075964802023749,LA,louisiana
9,2020,0.002793975131808335,LA,louisiana
10,2021,0.001916124911110211,LA,louisiana
