iso_code3,Region,Year,frac_inen_energy_chemicals_natural_gas
LA,louisiana,2021,0.7334006652741814
LA,louisiana,2022,0.7427726375313525
LA,louisiana,2023,0.7501963945002474
LA,louisiana,2024,0.754340820267973
LA,louisiana,2025,0.7580703931420575
LA,louisiana,2026,0.761522948539903
LA,louisiana,2027,0.7646844228868117
LA,louisiana,2028,0.767605627878353
LA,louisiana,2029,0.7703287853709443
LA,louisiana,2030,0.7728794878351701
LA,louisiana,2031,0.7752767239980636
LA,louisiana,2032,0.7775370548404984
LA,louisiana,2033,0.7796749215455915
LA,louisiana,2034,0.781702593300798
LA,louisiana,2035,0.7836304544045003
LA,louisiana,2036,0.785467362681722
LA,louisiana,2037,0.7872209331496114
LA,louisiana,2038,0.7888451106417128
LA,louisiana,2039,0.7903798600201588
LA,louisiana,2040,0.7918511924975906
LA,louisiana,2041,0.7932634112888334
LA,louisiana,2042,0.7946203391949411
LA,louisiana,2043,0.7959253965064571
LA,louisiana,2044,0.7971816642805664
LA,louisiana,2045,0.7983919357501373
LA,louisiana,2046,0.7995587581161899
LA,louisiana,2047,0.8006844665762983
LA,louisiana,2048,0.8017712121094558
LA,louisiana,2049,0.8028209842555444
LA,louisiana,2050,0.8038356298904024
