Year,Region,iso_code3,yf_agrc_herbs_and_other_perennial_crops_tonne_ha
2020,louisiana,LA,12.02316481
2021,louisiana,LA,12.02316481
2022,louisiana,LA,12.02316481
2023,louisiana,LA,12.02316481
2024,louisiana,LA,12.02316481
2025,louisiana,LA,12.02316481
2026,louisiana,LA,12.02316481
2027,louisiana,LA,12.02316481
2028,louisiana,LA,12.02316481
2029,louisiana,LA,12.02316481
2030,louisiana,LA,12.02316481
2031,louisiana,LA,12.02316481
2032,louisiana,LA,12.02316481
2033,louisiana,LA,12.02316481
2034,louisiana,LA,12.02316481
2035,louisiana,LA,12.02316481
2036,louisiana,LA,12.02316481
2037,louisiana,LA,12.02316481
2038,louisiana,LA,12.02316481
2039,louisiana,LA,12.02316481
2040,louisiana,LA,12.02316481
2041,louisiana,LA,12.02316481
2042,louisiana,LA,12.02316481
2043,louisiana,LA,12.02316481
2044,louisiana,LA,12.02316481
2045,louisiana,LA,12.02316481
2046,louisiana,LA,12.02316481
2047,louisiana,LA,12.02316481
2048,louisiana,LA,12.02316481
2049,louisiana,LA,12.02316481
2050,louisiana,LA,12.02316481
