iso_code3,Region,Year,frac_inen_energy_recycled_plastic_gasoline
LA,louisiana,2000,0.0043959664250723
LA,louisiana,2001,0.0046236439808007
LA,louisiana,2002,0.0051593995711222
LA,louisiana,2003,0.0060063319764812
LA,louisiana,2004,0.0061933448893182
LA,louisiana,2005,0.0069962190583092
LA,louisiana,2006,0.0082123120421539
LA,louisiana,2007,0.0082119515840684
LA,louisiana,2008,0.0082113505696448
LA,louisiana,2009,0.0082121692392502
LA,louisiana,2010,0.0021836201263341
LA,louisiana,2011,0.0021948012541721
LA,louisiana,2012,0.0019247301556977
LA,louisiana,2013,0.0020560835607415
LA,louisiana,2014,0.0036715417428397
LA,louisiana,2015,0.0042240772402695
LA,louisiana,2016,0.0096140749148694
LA,louisiana,2017,0.0090230117077109
LA,louisiana,2018,0.0032976519337016
LA,louisiana,2019,0.0038519888991674
LA,louisiana,2020,0.0037789682077559
