,Year,frac_trns_pkm_dem_private_and_public_water_borne,iso_code3,Region
0,2011,0.00010247998984498234,LA,louisiana
1,2012,0.00010447255092195252,LA,louisiana
2,2013,0.00010386961949365801,LA,louisiana
3,2014,0.00010663232251326764,LA,louisiana
4,2015,0.00011216352515709423,LA,louisiana
5,2016,0.00011960788052976025,LA,louisiana
6,2017,0.00011794364944952643,LA,louisiana
7,2018,0.00012482780932007083,LA,louisiana
8,2019,0.00013034406814749712,LA,louisiana
9,2020,0.00011438800780811875,LA,louisiana
10,2021,6.902435305471949e-05,LA,louisiana
