Year,prodinit_ippu_textiles_tonne,Iso_code3,Region
2015,3843.47694037,LA,louisiana
2016,3886.94665431382,LA,louisiana
2017,3867.16562392572,LA,louisiana
2018,4025.594822102461,LA,louisiana
2019,4118.56243338314,LA,louisiana
2020,4191.04277828944,LA,louisiana
