iso_code3,Region,Year,frac_inen_energy_recycled_metals_coal
LA,louisiana,2000,0.3832747363134103
LA,louisiana,2001,0.3632329283264891
LA,louisiana,2002,0.3536168004775906
LA,louisiana,2003,0.3593817195408383
LA,louisiana,2004,0.3642474046685492
LA,louisiana,2005,0.3253768858908185
LA,louisiana,2006,0.3681555828129183
LA,louisiana,2007,0.3346341376292618
LA,louisiana,2008,0.3314379119995712
LA,louisiana,2009,0.2993738502900807
LA,louisiana,2010,0.3424726972718247
LA,louisiana,2011,0.3098505335477269
LA,louisiana,2012,0.2785823695647011
LA,louisiana,2013,0.2840337924612135
LA,louisiana,2014,0.2851542629658299
LA,louisiana,2015,0.2819198885579069
LA,louisiana,2016,0.2881055491298384
LA,louisiana,2017,0.3126487611367627
LA,louisiana,2018,0.3060258162285034
LA,louisiana,2019,0.306178341932829
LA,louisiana,2020,0.324098456204325
