Year,prodinit_ippu_textiles_tonne,Iso_code3,Region
2021,4191.04277828944,LA,louisiana
2022,4191.04277828944,LA,louisiana
2023,4191.04277828944,LA,louisiana
2024,4191.04277828944,LA,louisiana
2025,4191.04277828944,LA,louisiana
2026,4191.04277828944,LA,louisiana
2027,4191.04277828944,LA,louisiana
2028,4191.04277828944,LA,louisiana
2029,4191.04277828944,LA,louisiana
2030,4191.04277828944,LA,louisiana
2031,4191.04277828944,LA,louisiana
2032,4191.04277828944,LA,louisiana
2033,4191.04277828944,LA,louisiana
2034,4191.04277828944,LA,louisiana
2035,4191.04277828944,LA,louisiana
2036,4191.04277828944,LA,louisiana
2037,4191.04277828944,LA,louisiana
2038,4191.04277828944,LA,louisiana
2039,4191.04277828944,LA,louisiana
2040,4191.04277828944,LA,louisiana
2041,4191.04277828944,LA,louisiana
2042,4191.04277828944,LA,louisiana
2043,4191.04277828944,LA,louisiana
2044,4191.04277828944,LA,louisiana
2045,4191.04277828944,LA,louisiana
2046,4191.04277828944,LA,louisiana
2047,4191.04277828944,LA,louisiana
2048,4191.04277828944,LA,louisiana
2049,4191.04277828944,LA,louisiana
2050,4191.04277828944,LA,louisiana
