,Year,frac_trns_pkm_dem_private_and_public_human_powered,iso_code3,Region
0,2011,0.009012929726569101,LA,louisiana
1,2012,0.008870330840258648,LA,louisiana
2,2013,0.008792711148519245,LA,louisiana
3,2014,0.00870752945282368,LA,louisiana
4,2015,0.008408365002279693,LA,louisiana
5,2016,0.008233194344012514,LA,louisiana
6,2017,0.008119845037755457,LA,louisiana
7,2018,0.007963168049107138,LA,louisiana
8,2019,0.00788144637094484,LA,louisiana
9,2020,0.00996919868651393,LA,louisiana
10,2021,0.00874618642697902,LA,louisiana
