"iso_code3","frac_waso_initial_composition_mun_paper","Year"
"LA",0.266,2010
"LA",0.266,2011
"LA",0.266,2012
"LA",0.266,2013
"LA",0.266,2014
"LA",0.266,2015
"LA",0.266,2016
"LA",0.266,2017
"LA",0.266,2018
"LA",0.266,2019
"LA",0.266,2020
