iso_code3,Region,Year,frac_inen_energy_rubber_and_leather_diesel
LA,louisiana,2000,0.0073236291456455
LA,louisiana,2001,0.0083554877707505
LA,louisiana,2002,0.0062556810303655
LA,louisiana,2003,0.0068265411210828
LA,louisiana,2004,0.0061362720741287
LA,louisiana,2005,0.0065351862406544
LA,louisiana,2006,0.0058801072665648
LA,louisiana,2007,0.0061907231772377
LA,louisiana,2008,0.0055783065855008
LA,louisiana,2009,0.0061165678057683
LA,louisiana,2010,0.0033235893782701
LA,louisiana,2011,0.0033741672039544
LA,louisiana,2012,0.0021417091747606
LA,louisiana,2013,0.0020780205389758
LA,louisiana,2014,0.0032437341082455
LA,louisiana,2015,0.0029647058823529
LA,louisiana,2016,0.0065267646152265
LA,louisiana,2017,0.0064200658066537
LA,louisiana,2018,0.0023045984716449
LA,louisiana,2019,0.0026862436456532
LA,louisiana,2020,0.0027806341045415
