Year,frac_trns_fuelmix_road_light_gasoline
2008,0.9762613629430785
2009,0.9761827973347127
2010,0.9751216473737119
2011,0.9753135715145869
2012,0.9733227974165235
2013,0.9733449627001276
2014,0.9725168132436627
2015,0.9724433355774689
2016,0.9710505564963352
2017,0.9704360438526571
2018,0.970043501186396
2019,0.9689915810653394
