"Year","Region","iso_code3","frac_lvst_mm_cattle_nondairy_liquid_slurry"
2021,"louisiana","LA",0.01
2022,"louisiana","LA",0.01
2023,"louisiana","LA",0.01
2024,"louisiana","LA",0.01
2025,"louisiana","LA",0.01
2026,"louisiana","LA",0.01
2027,"louisiana","LA",0.01
2028,"louisiana","LA",0.01
2029,"louisiana","LA",0.01
2030,"louisiana","LA",0.01
2031,"louisiana","LA",0.01
2032,"louisiana","LA",0.01
2033,"louisiana","LA",0.01
2034,"louisiana","LA",0.01
2035,"louisiana","LA",0.01
2036,"louisiana","LA",0.01
2037,"louisiana","LA",0.01
2038,"louisiana","LA",0.01
2039,"louisiana","LA",0.01
2040,"louisiana","LA",0.01
2041,"louisiana","LA",0.01
2042,"louisiana","LA",0.01
2043,"louisiana","LA",0.01
2044,"louisiana","LA",0.01
2045,"louisiana","LA",0.01
2046,"louisiana","LA",0.01
2047,"louisiana","LA",0.01
2048,"louisiana","LA",0.01
2049,"louisiana","LA",0.01
2050,"louisiana","LA",0.01
