Year,frac_scoe_heat_energy_residential_kerosene,Iso_code3,Region
2015,0.0003378378378378,LA,louisiana
2016,0.0003597122302158,LA,louisiana
2017,0.0003767897513187,LA,louisiana
2018,0.0003324468085106,LA,louisiana
2019,0.0003448275862068,LA,louisiana
2020,0.0003591954022988,LA,louisiana
2021,0.0003484320557491,LA,louisiana
