iso_code3,Region,Year,frac_inen_energy_recycled_textiles_natural_gas
LA,louisiana,2021,0.4400749992357788
LA,louisiana,2022,0.468947374002607
LA,louisiana,2023,0.4785189226420396
LA,louisiana,2024,0.4921315561414842
LA,louisiana,2025,0.5016297512893206
LA,louisiana,2026,0.5143464293091892
LA,louisiana,2027,0.5284802644745855
LA,louisiana,2028,0.5455971035802553
LA,louisiana,2029,0.5642785153642041
LA,louisiana,2030,0.584269755205877
LA,louisiana,2031,0.6049048589987767
LA,louisiana,2032,0.626347042819976
LA,louisiana,2033,0.6488812227588925
LA,louisiana,2034,0.6730270531435221
LA,louisiana,2035,0.6991799031787115
LA,louisiana,2036,0.7276338899272778
LA,louisiana,2037,0.758552078641882
LA,louisiana,2038,0.7920788607833681
LA,louisiana,2039,0.8284135500637564
LA,louisiana,2040,0.8678802393824194
LA,louisiana,2041,0.9048346462014394
LA,louisiana,2042,0.9065143952891296
LA,louisiana,2043,0.908182747576206
LA,louisiana,2044,0.9098447769428556
LA,louisiana,2045,0.9115055012405624
LA,louisiana,2046,0.9131676931523124
LA,louisiana,2047,0.9148315865431822
LA,louisiana,2048,0.9164958239153234
LA,louisiana,2049,0.9181586562853252
LA,louisiana,2050,0.9198187955844253
