"iso_code3","frac_waso_initial_composition_mun_metal","Year"
"LA",0.09,2021
"LA",0.09,2022
"LA",0.09,2023
"LA",0.09,2024
"LA",0.09,2025
"LA",0.09,2026
"LA",0.09,2027
"LA",0.09,2028
"LA",0.09,2029
"LA",0.09,2030
"LA",0.09,2031
"LA",0.09,2032
"LA",0.09,2033
"LA",0.09,2034
"LA",0.09,2035
"LA",0.09,2036
"LA",0.09,2037
"LA",0.09,2038
"LA",0.09,2039
"LA",0.09,2040
"LA",0.09,2041
"LA",0.09,2042
"LA",0.09,2043
"LA",0.09,2044
"LA",0.09,2045
"LA",0.09,2046
"LA",0.09,2047
"LA",0.09,2048
"LA",0.09,2049
"LA",0.09,2050
