iso_code3,Region,Year,frac_inen_energy_recycled_wood_natural_gas
LA,louisiana,2000,0.2230155023242365
LA,louisiana,2001,0.2101362602312436
LA,louisiana,2002,0.1658147327767365
LA,louisiana,2003,0.1462753705660786
LA,louisiana,2004,0.1340150844136672
LA,louisiana,2005,0.1146419420450643
LA,louisiana,2006,0.1599456699920378
LA,louisiana,2007,0.1591395630754945
LA,louisiana,2008,0.1381404174573055
LA,louisiana,2009,0.1150071672731282
LA,louisiana,2010,0.1053493449781659
LA,louisiana,2011,0.1155419523823537
LA,louisiana,2012,0.148251944230365
LA,louisiana,2013,0.1447411695060185
LA,louisiana,2014,0.1443746259724715
LA,louisiana,2015,0.1478486229938175
LA,louisiana,2016,0.129307947103593
LA,louisiana,2017,0.1094712525667351
LA,louisiana,2018,0.1104310695404636
LA,louisiana,2019,0.1410703349507702
LA,louisiana,2020,0.15177304964539
