Year,iso_code3,pop_lvst_initial_cattle_dairy
2023,LA,7796
2024,LA,7796
2025,LA,7796
2026,LA,7796
2027,LA,7796
2028,LA,7796
2029,LA,7796
2030,LA,7796
2031,LA,7796
2032,LA,7796
2033,LA,7796
2034,LA,7796
2035,LA,7796
2036,LA,7796
2037,LA,7796
2038,LA,7796
2039,LA,7796
2040,LA,7796
2041,LA,7796
2042,LA,7796
2043,LA,7796
2044,LA,7796
2045,LA,7796
2046,LA,7796
2047,LA,7796
2048,LA,7796
2049,LA,7796
2050,LA,7796
