iso_code3,Region,Year,frac_inen_energy_recycled_textiles_coal
LA,louisiana,2000,0.0566221206727065
LA,louisiana,2001,0.0534283697953422
LA,louisiana,2002,0.0815694527961515
LA,louisiana,2003,0.0736182519280205
LA,louisiana,2004,0.0282392026578073
LA,louisiana,2005,0.065860465116279
LA,louisiana,2006,0.1402188358288296
LA,louisiana,2007,0.1536474852741277
LA,louisiana,2008,0.1418152639087019
LA,louisiana,2009,0.0984386145676468
LA,louisiana,2010,0.0755526855580035
LA,louisiana,2011,0.0664538310412573
LA,louisiana,2012,0.0455231650182196
LA,louisiana,2013,0.0561051004636785
LA,louisiana,2014,0.0692013268690992
LA,louisiana,2015,0.0515665693315444
LA,louisiana,2016,0.0461446168613021
LA,louisiana,2017,0.0523037928849461
LA,louisiana,2018,0.0444751135250645
LA,louisiana,2019,0.0290075034106412
LA,louisiana,2020,0.0292896529354524
