iso_code3,Region,Year,frac_inen_energy_other_product_manufacturing_solid_biomass
LA,louisiana,2021,0.1279111584432592
LA,louisiana,2022,0.1323032568654375
LA,louisiana,2023,0.1352585622890822
LA,louisiana,2024,0.1367982269611483
LA,louisiana,2025,0.1378587467919628
LA,louisiana,2026,0.13880376037167
LA,louisiana,2027,0.1396865621389178
LA,louisiana,2028,0.140490585238755
LA,louisiana,2029,0.1411779382167372
LA,louisiana,2030,0.1417509869219711
LA,louisiana,2031,0.1422139206231303
LA,louisiana,2032,0.1425791358802395
LA,louisiana,2033,0.1428545628608395
LA,louisiana,2034,0.1430493107084336
LA,louisiana,2035,0.1431716000517611
LA,louisiana,2036,0.143229222785434
LA,louisiana,2037,0.1432036280322333
LA,louisiana,2038,0.1431253143846202
LA,louisiana,2039,0.1429999695932106
LA,louisiana,2040,0.1427522121131366
LA,louisiana,2041,0.1423957934571226
LA,louisiana,2042,0.1420119212866475
LA,louisiana,2043,0.1415416207285748
LA,louisiana,2044,0.1409312403605555
LA,louisiana,2045,0.1403124548290815
LA,louisiana,2046,0.1396874757693056
LA,louisiana,2047,0.1390582634315926
LA,louisiana,2048,0.1384265583008223
LA,louisiana,2049,0.1377939052026096
LA,louisiana,2050,0.1371616749316276
