iso_code3,Region,Year,frac_trns_fuelmix_powered_bikes_gasoline
LA,louisiana,2011,0.4649507431239678
LA,louisiana,2012,0.4789217452510034
LA,louisiana,2013,0.4558978367685534
LA,louisiana,2014,0.4355031659796249
LA,louisiana,2015,0.4111026068164423
LA,louisiana,2016,0.4195930151128063
LA,louisiana,2017,0.4378372599341412
LA,louisiana,2018,0.4438599859992827
LA,louisiana,2019,0.4513509695179727
LA,louisiana,2020,0.4350426666647291
LA,louisiana,2021,0.4608455419341483
LA,louisiana,2022,0.4500122305964612
