iso_code3,Region,Year,frac_inen_energy_recycled_metals_coal
LA,louisiana,2021,0.3187536639252537
LA,louisiana,2022,0.3077812082676768
LA,louisiana,2023,0.3067027966610317
LA,louisiana,2024,0.3062111986032575
LA,louisiana,2025,0.3036738320338922
LA,louisiana,2026,0.3009568753501953
LA,louisiana,2027,0.2987814263763378
LA,louisiana,2028,0.2965725636533428
LA,louisiana,2029,0.294311800755796
LA,louisiana,2030,0.2921226030263403
LA,louisiana,2031,0.2899772656768989
LA,louisiana,2032,0.2878337509745731
LA,louisiana,2033,0.2856914097661582
LA,louisiana,2034,0.2835500887358062
LA,louisiana,2035,0.2814010450470052
LA,louisiana,2036,0.2792379289655383
LA,louisiana,2037,0.2770574477852404
LA,louisiana,2038,0.2748563317177135
LA,louisiana,2039,0.2726313426597648
LA,louisiana,2040,0.2703798659305236
LA,louisiana,2041,0.2680997066194815
LA,louisiana,2042,0.265788862349341
LA,louisiana,2043,0.2634455163393609
LA,louisiana,2044,0.2610680258660926
LA,louisiana,2045,0.2586548695706986
LA,louisiana,2046,0.2562046113053606
LA,louisiana,2047,0.2537158806033112
LA,louisiana,2048,0.2511873537911941
LA,louisiana,2049,0.2486177363188926
LA,louisiana,2050,0.2460057491394691
